dictor	value	max_Bark	slope_Bark	max_Hertz	slope_Hertz	soundname	cog	sd	skewness	kurtosis	utterance	language	stimulus	cog_Bark	sd_bark	sd_distance
d20	nəsasaqen_2	21.53783	4.092904	8392.566	0.004213794	chukchi_d20	7746.907243166132	2822.827675210604	-2.036865367580521	2.9279254281090354	2	chukchi	nəsasaqen	21.095394273811596	15.242518484681066	0.9617925663881123
d20	nəsasaqen_3	22.07982	5.063023	9313.11	0.00489238	chukchi_d20	8829.356064298961	1789.268038616124	-3.6504699801774483	15.062858127996044	3	chukchi	nəsasaqen	21.807332204475834	12.376332363260262	0.9617925663881123
d20	nəsasaqen_4	22.1818	5.26517	9506.909	0.004659547	chukchi_d20	6056.190933668322	4327.05749677466	-0.4778388682280353	-1.5026621094127122	4	chukchi	nəsasaqen	19.6614860021759	17.70739776176707	0.9617925663881123
d20	nəsasaqen2_1	8.025049	3.505343	925.9277	0.02540737	chukchi_d20	5163.04885410381	4055.2570494841775	-0.16464163935599366	-1.7921227007855707	2	chukchi	nəsasaqen2	18.725325153916163	17.337135013759106	0.9617925663881123
d20	nəsasaqen2_2	8.025049	2.203026	925.9277	0.01606821	chukchi_d20	6876.501944087026	3350.645519917104	-1.1330067716773171	-0.15829026692636905	2	chukchi	nəsasaqen2	20.409198294917086	16.245313220932637	0.9617925663881123
d20	nəsasaqen2_3	21.99475	4.580413	9156.995	0.004657036	chukchi_d20	8438.12225193818	2265.8621644407663	-2.848097468893313	7.435615846477086	2	chukchi	nəsasaqen2	21.567030642548843	13.899515794427927	0.9617925663881123
d20	nəsasaqen2_4	22.19841	4.541266	9539.209	0.004392471	chukchi_d20	7502.173543752602	2768.974474326734	-1.8285421002972575	2.25415229209099	2	chukchi	nəsasaqen2	20.913175459576735	15.12765622480671	0.9617925663881123
d20	sajkok_1	21.49248	5.027309	8322.583	0.005157644	chukchi_d20_saikok	7876.313208096836	1935.1661891556023	-2.6530378202046623	8.307476443802454	1	chukchi	sajkok	21.188458247696357	12.890293858485867	0.9617925663881123
d20	sajkok_2	22.13131	4.794427	9410.01	0.004654344	chukchi_d20_saikok	8666.504164120664	1463.1662074540852	-2.54579011671864	12.13678381114205	2	chukchi	sajkok	21.709546744968435	11.032106146416897	0.9617925663881123
d20	sajkok_3	21.34901	5.669301	8107.251	0.005979206	chukchi_d20_saikok	7842.888851610557	1312.9025673734745	-2.1515938019860434	11.512868122950437	3	chukchi	sajkok	21.164635900808445	10.303118860427631	0.9617925663881123
d20	sajkok_4	21.95574	4.397124	9087.012	0.004354044	chukchi_d20_saikok	8131.785003881064	1681.032318354806	-2.7074531812941074	10.211078726462615	4	chukchi	sajkok	21.3656587125699	11.96248215847653	0.9617925663881123
d21	nəsasaqen_1	21.64018	4.587914	8554.065	0.004505766	chukchi_d21	8306.934407526274	1939.7935961297067	-1.915788174634486	6.5397422883838505	1	chukchi	nəsasaqen	21.48224995038705	12.905835098603019	0.9617925663881123
d21	nəsasaqen_2	21.71976	4.962661	8683.264	0.005078816	chukchi_d21	8721.737027504594	1949.6151767026413	-2.8816928097284884	10.207235338405095	2	chukchi	nəsasaqen	21.743064560297494	12.938673955831483	0.9617925663881123
d21	nəsasaqen_3	21.69015	4.594186	8634.814	0.004520482	chukchi_d21	8354.51694083662	1446.0831694591575	-3.1609039287837892	15.32980243679799	3	chukchi	nəsasaqen	21.513249945057147	10.953064354694936	0.9617925663881123
d21	nəsasaqen2_1	20.13471	12.27917	6562.244	0.01254575	chukchi_d21	5199.181218790958	4093.462130651577	-0.019032123281168285	-1.6280066620941736	2	chukchi	nəsasaqen2	18.76592949418925	17.39060380731487	0.9617925663881123
d21	nəsasaqen2_3	21.60981	4.546673	8505.615	0.004471732	chukchi_d21	7195.275892013358	2877.235677971428	-1.4076967386170525	1.077423403268103	2	chukchi	nəsasaqen2	20.672927327546883	15.355871945206006	0.9617925663881123
d21	sajkok_1	20.05201	-3.837584	6470.728	0.003612158	chukchi_d21_saikok	5370.005077231827	3169.2386206504357	-0.462131926848003	-0.6943618573706387	1	chukchi	sajkok	18.954588452976196	15.923043273835594	0.9617925663881123
d21	sajkok_2	21.61659	2.953227	8516.382	0.003068032	chukchi_d21_saikok	7392.089576411408	2750.6430147178157	-1.2552997086032198	1.5209523998645826	2	chukchi	sajkok	20.82851773779991	15.08792951483569	0.9617925663881123
