dictor	value	max_Bark	slope_Bark	max_Hertz	slope_Hertz	delete
d46	sɐɕɐ_cf	20.08479	10.860463	6506.836	0.01219884	delete
d46	sɐŝ'ə_1	20.59212	9.513203	7095.703	0.010122336	delete
d46	sɐŝ'ə_2	20.58972	8.104619	7092.773	0.008787596	delete
d46	sɐŝ'ə_3	20.61365	8.739493	7122.07	0.009316858	delete
d46	sɐŝ'ə_cf	20.60888	10.068234	7116.211	0.010315074	delete
d46	sɐχɐ_1	20.21317	7.48131	6650.391	0.008436743	delete
d46	sɐχɐ_2	20.6017	7.339116	7107.422	0.007581063	delete
d46	sɐχɐ_3	20.66116	7.139907	7180.664	0.007454535	delete
d46	sɐχɐ_cf	20.77778	8.052051	7327.148	0.008234269	delete
d46	səʒɐ_1	20.70349	5.541269	7233.398	0.006275428	delete
d46	səʒɐ_2	20.65879	5.025276	7177.734	0.005601035	delete
d46	səʒɐ_3	20.77778	5.613672	7327.148	0.006345663	delete
d46	səʒɐ_cf	19.9506	9.328578	6360.352	0.010324906	delete
d48	ħisap_1	20.17159	8.5058911	7998.047	0.006282766	
d48	ħisap_2	19.88778	7.7351295	6292.969	0.008888654	
d48	nəsɐ_1	20.99983	5.3089502	7863.281	0.005476991	delete
d48	nəsɐ_2	20.58732	6.7585779	7998.047	0.007182502	delete
d48	nəsɐ_3	20.61604	4.1682781	7998.047	0.00462935	delete
d48	nəsɐ_cf	20.48539	5.6856725	7951.172	0.005607823	delete
d48	qjəsədzjə_1	20.50008	5.6519167	6984.375	0.006027981	delete
d48	qjəsədzjə_2	20.45587	8.4982468	6931.641	0.009077581	delete
d48	qjəsədzjə_3	19.9858	7.858045	6398.438	0.00899791	delete
d48	qjəsədzjə_cf	20.45587	7.7725849	6931.641	0.00863773	delete
d48	sabəj_1	20.31063	4.9147152	6761.719	0.004487538	
d48	sabəj_2	20.18462	6.6099508	6618.164	0.006884147	
d48	sabəj_3	19.4902	8.9315253	5882.812	0.009933434	
d48	sabəj_cf	20.19762	4.3755863	6632.812	0.005460702	
d48	sabəjə_1	20.45093	4.6791809	6925.781	0.005292269	
